Time Step,SOH Normal (%),SOH Fuzzy (%),SOH Deep Fuzzy (%)
0,100.0,100.0,100.0
1,99.99744344497942,99.99751744497942,99.99751744497942
2,99.9960220713889,99.99620907138889,99.99620907138889
3,99.99476898603909,99.99510198603909,99.99510198603909
4,99.99327561244856,99.99379361244856,99.99379361244856
5,99.99242787047284,99.99315005367284,99.99315005367284
6,99.99150305948632,99.99291620664889,99.99292436343818
7,99.98572096695351,99.99109767665877,99.99116871296043
8,99.97441632233736,99.98745309609444,99.98766981832047
9,99.95901766623973,99.9824296953461,99.98287913940842
10,99.94275031267914,99.97714174159601,99.97781645354935
11,99.92433487789324,99.97103342160325,99.97183921443381
12,99.92412770351784,99.96547225456949,99.96605912927298
13,99.92392052914244,99.96085321086251,99.96068898008198
14,99.92371335476703,99.9574018120156,99.95591513778307
15,99.92350618039163,99.95500581723002,99.95181239001748
16,99.92329900601622,99.95385265006799,99.9496495222526
17,99.92308604326882,99.95355827091676,99.94909876995143
18,99.92163990202225,99.95236078701758,99.94790128605226
19,99.91995988825016,99.95097086149289,99.94651136052757
20,99.91680231261593,99.94818637410606,99.94372687314073
21,99.9147018223315,99.94650897206903,99.9420494711037
22,99.91234404379603,99.94463028178096,99.94017078081563
23,99.9106212260836,99.94342255231594,99.93896305135061
24,99.90675497787737,99.9401683923571,99.93570889139177
25,99.90261898946535,99.93674649219248,99.93228699122716
26,99.89848464517885,99.93342523615338,99.92896573518806
27,99.89435494501788,99.9302046242398,99.92574512327448
28,99.88992195660587,99.9267827240752,99.92232322310987
29,99.88573829413255,99.92370198064927,99.91924247968394
30,99.88383061301931,99.92292051258343,99.9184610116181
31,99.87747548627748,99.92119312267324,99.91680267578928
32,99.86594074644304,99.9177656987444,99.91348526294102
33,99.85111584536787,99.91331049888198,99.90910587996099
34,99.8486880024964,99.90858733750639,99.90431255477256
35,99.847561789449,99.90342718520321,99.89875217389438
36,99.8464355764016,99.89876733383329,99.89309326130116
37,99.8453093633542,99.89471654789864,99.88711668397401
38,99.8441831503068,99.89221220624432,99.88229989250561
39,99.8430569372594,99.8902491965545,99.87853152627298
40,99.841930724212,99.88924087066098,99.87660124827337
41,99.8408045111646,99.88892164198968,99.87599221683212
42,99.83879659066206,99.88806545573453,99.87513603057697
