P_LD,P1 (PV_LD),P4 (BAT_LD),P3 (PV_BAT),SOC,Temp,SOH
0.4934383202099737,0.0,0.6133126356672355,0.0,1.0,0.0,1.0
0.2992125984251968,0.0,0.3997912773624479,0.0,0.9917355371900829,0.008264462809917994,0.9917355371900847
0.3202099737532808,0.0,0.427846806145574,0.0,0.9834710743801658,0.0165289256198351,0.9834710743801658
0.2782152230971129,0.0,0.37173574965478373,0.0,0.9752066115702478,0.024793388429753094,0.9752066115702505
0.2545931758530184,0.0,0.3401732804459306,0.0,0.9669421487603316,0.03305785123966931,0.9669421487603316
0.2677165354330709,0.0,0.35770798580095164,0.0,0.9586776859504136,0.041322314049587305,0.9586776859504162
0.2808398950131234,0.0,0.3752426900805108,0.0,0.9504132231404965,0.04958677685950441,0.9504132231404974
0.2782152230971129,0.0,0.37173574965478373,0.0,0.9421487603305785,0.05785123966942152,0.942148760330582
0.2650918635170604,0.06549832820748863,0.30065777036108654,0.0,0.9338842975206614,0.06611570247933951,0.9338842975206632
0.31758530183727035,0.4166250567227757,0.08375911533827679,0.0,0.9256198347107443,0.07438016528925662,0.9256198347107443
0.15748031496062992,0.14755334748271337,0.08979522493145109,0.0,0.9173553719008263,0.08264462809917461,0.9173553719008254
0.11023622047244094,0.14245111831941162,0.030841233258937686,0.0,0.9090909090909101,0.09090909090909083,0.9090909090909101
0.14435695538057744,0.23594807709112478,0.0,0.3887348914351622,0.9008264462809921,0.09917355371900882,0.9008264462809912
0.8661417322834645,0.04783782913546984,0.8754764514073216,0.0,0.892561983471075,0.10743801652892593,0.8925619834710758
0.10498687664041995,0.03860925634568025,0.1087155231564384,0.0,0.884297520661157,0.11570247933884303,0.8842975206611605
0.4908136482939633,0.2244381008941159,0.4723253396019973,0.0,0.8760330578512399,0.12396694214876103,0.8760330578512416
0.25984251968503935,0.0,0.34718716237284664,0.0,0.8677685950413228,0.13223140495867813,0.8677685950413263
1.0,0.0,1.0,0.0,0.8595041322314056,0.14049586776859524,0.8595041322314074
0.6246719160104987,0.0,0.7134907097910778,0.0,0.8512396694214885,0.14876033057851235,0.8512396694214885
0.6377952755905513,0.0,0.7235085170959159,0.0,0.8429752066115705,0.15702479338843034,0.8429752066115697
0.3674540682414698,0.0,0.4909717445632803,0.0,0.8347107438016534,0.16528925619834745,0.8347107438016543
0.4934383202099737,0.0,0.6133126356672355,0.0,0.8264462809917354,0.17355371900826455,0.8264462809917354
0.5879265091863518,0.0,0.6854408486922541,0.0,0.8181818181818183,0.18181818181818254,0.8181818181818201
0.5931758530183726,0.0,0.6894479724745589,0.0,0.8099173553719012,0.19008264462809965,0.8099173553719012
0.25721784776902884,0.0,0.34368022087165767,0.0,0.8016528925619841,0.19834710743801676,0.8016528925619859
0.27034120734908135,0.0,0.3612149262266787,0.0,0.7933884297520661,0.20661157024793386,0.793388429752067
0.25984251968503935,0.0,0.34718716237284664,0.0,0.785123966942149,0.21487603305785186,0.7851239669421517
0.2388451443569554,0.0,0.3191316335897206,0.0,0.7768595041322319,0.22314049586776896,0.7768595041322328
0.24671916010498685,0.0,0.3296524570178256,0.0,0.7685950413223139,0.23140495867768607,0.7685950413223139
0.2677165354330709,0.0,0.35770798580095164,0.0,0.7603305785123968,0.23966942148760406,0.7603305785123986
0.32545931758530183,0.0,0.43486068807249006,0.0,0.7520661157024788,0.24793388429752117,0.7520661157024797
0.863517060367454,0.0,0.8958148042447769,0.0,0.7438016528925626,0.2561983471074383,0.7438016528925644
0.6876640419947507,0.19284250838909525,0.6715120897115745,0.0,0.7355371900826446,0.2644628099173554,0.7355371900826455
0.7506561679790026,0.6040970037833991,0.5091506752667284,0.0,0.7272727272727275,0.2727272727272734,0.7272727272727302
0.48293963254593175,0.63279649022585,0.0,0.32750484848663,0.7190082644628104,0.2809917355371905,0.7190082644628113
0.5485564304461942,0.7084706155035232,0.0,0.35783135386824666,0.7107438016528924,0.2892561983471076,0.710743801652896
0.6141732283464566,0.9306311490771567,0.05985609880762484,0.0,0.7024793388429753,0.2975206611570256,0.7024793388429771
0.34383202099737536,0.561985419980679,0.0,0.46001155322792536,0.6942148760330582,0.3057851239669418,0.6942148760330582
0.07086614173228346,0.11582905602655216,0.0,0.6860743088898085,0.6859504132231411,0.3140495867768598,0.6859504132231393
0.06299212598425197,0.1029591609124908,0.0,0.3137489090452761,0.6776859504132231,0.3223140495867769,0.677685950413224
0.11023622047244094,0.0,0.14729152369162266,0.0,0.669421487603306,0.3305785123966949,0.6694214876033051
0.08136482939632546,0.0,0.10871517255585347,0.0,0.6611570247933889,0.338842975206612,0.6611570247933898
0.08398950131233596,0.0,0.11222211298158054,0.0,0.6528925619834709,0.3471074380165291,0.6528925619834745
0.1916010498687664,0.0,0.25600669517201424,0.0,0.6446280991735538,0.3553719008264471,0.6446280991735556
0.2808398950131234,0.0,0.3752426900805108,0.0,0.6363636363636358,0.3636363636363642,0.6363636363636402
0.3858267716535433,0.0,0.5155203318452174,0.0,0.6280991735537196,0.3719008264462813,0.6280991735537214
0.48556430446194226,0.0,0.6073019510692402,0.0,0.6198347107438016,0.3801652892561984,0.6198347107438025
0.5590551181102362,0.0,0.6634016732668876,0.0,0.6115702479338845,0.3884297520661164,0.6115702479338836
0.3359580052493438,0.0,0.44888845192632215,0.0,0.6033057851239674,0.3966942148760335,0.6033057851239683
0.2992125984251968,0.0,0.3997912773624479,0.0,0.5950413223140494,0.4049586776859506,0.5950413223140494
0.30183727034120733,0.0,0.4032982188636369,0.0,0.5867768595041323,0.4132231404958686,0.586776859504134
0.3097112860892388,0.0,0.41381904229174193,0.0,0.5785123966942152,0.42148760330578483,0.5785123966942152
0.2099737532808399,0.0,0.2805552824539514,0.0,0.5702479338842981,0.4297520661157028,0.5702479338842998
0.09448818897637795,0.0,0.12624987683541264,0.0,0.5619834710743801,0.43801652892561993,0.561983471074381
0.11023622047244094,0.0,0.14729152369162266,0.0,0.553719008264463,0.4462809917355379,0.5537190082644656
0.42782152230971127,0.0,0.5632235991430453,0.0,0.5454545454545459,0.45454545454545503,0.5454545454545467
0.11023622047244094,0.15005527611371558,0.0,0.08247599269177071,0.5371900826446279,0.46280991735537214,0.5371900826446279
0.7847769028871392,0.6098631457910024,0.5499282119491267,0.0,0.5289256198347108,0.47107438016529013,0.5289256198347125
0.28608923884514437,0.4676061891442291,0.0,0.5478348886254791,0.5206611570247937,0.47933884297520635,0.5206611570247937
0.7585301837270342,0.9794479718291106,0.2128313021467689,0.0,0.5123966942148765,0.48760330578512434,0.5123966942148783
0.5774278215223098,0.7571508389047223,0.0,0.39233330872155125,0.5041322314049586,0.49586776859504145,0.5041322314049594
0.5275590551181102,0.7088232154519352,0.0,0.3819176241109931,0.49586776859504145,0.5041322314049594,0.4958677685950441
0.07874015748031496,0.1286989511406135,0.0,0.7182563726588976,0.48760330578512434,0.5123966942148765,0.48760330578512523
0.08661417322834646,0.14156884625467486,0.0,0.3499376852199014,0.47933884297520635,0.5206611570247937,0.4793388429752099
0.06824146981627296,0.0,0.0911804672008324,0.0,0.47107438016529013,0.5289256198347108,0.471074380165291
0.08398950131233596,0.0,0.11222211298158054,0.0,0.46280991735537214,0.5371900826446279,0.46280991735537214
0.10761154855643044,0.0,0.1437845821904337,0.0,0.45454545454545503,0.5454545454545459,0.45454545454545325
0.24671916010498685,0.0,0.3296524570178256,0.0,0.44628099173553704,0.553719008264463,0.4462809917355379
0.3202099737532808,0.0,0.427846806145574,0.0,0.43801652892561993,0.561983471074381,0.4380165289256226
0.3464566929133858,0.0,0.4629162168556161,0.0,0.4297520661157028,0.5702479338842981,0.4297520661157037
0.3779527559055118,0.0,0.5049995084171124,0.0,0.42148760330578483,0.5785123966942152,0.4214876033057884
0.4041994750656168,0.0,0.5400689191271546,0.0,0.4132231404958677,0.5867768595041332,0.4132231404958695
0.37007874015748027,0.0,0.4944786860644693,0.0,0.4049586776859506,0.5950413223140494,0.40495867768595417
0.30446194225721784,0.0,0.4068051603648259,0.0,0.3966942148760335,0.6033057851239674,0.3966942148760353
0.3202099737532808,0.0,0.427846806145574,0.0,0.3884297520661155,0.6115702479338845,0.3884297520661164
0.30446194225721784,0.0,0.4068051603648259,0.0,0.3801652892561984,0.6198347107438025,0.3801652892561975
0.2887139107611549,0.0,0.3857635135086158,0.0,0.3719008264462813,0.6280991735537196,0.3719008264462822
0.2913385826771654,0.0,0.38927045500980484,0.0,0.3636363636363633,0.6363636363636367,0.3636363636363633
0.2939632545931759,0.0,0.39277739543553186,0.0,0.3553719008264471,0.6446280991735538,0.355371900826448
0.22572178477690288,0.0,0.3015969293101614,0.0,0.3471074380165291,0.6528925619834709,0.3471074380165291
0.4199475065616798,0.1983006309069687,0.39900467053537136,0.0,0.338842975206612,0.6611570247933889,0.3388429752066138
0.10761154855643044,0.17588856655883844,0.0,0.4348703876285203,0.330578512396694,0.669421487603306,0.3305785123966949
0.8740157480314961,0.8871253021842793,0.442608222157153,0.0,0.3223140495867769,0.677685950413224,0.32231404958677956
0.10498687664041995,0.17159860152081802,0.0,1.0,0.3140495867768598,0.6859504132231411,0.3140495867768607
0.10498687664041995,0.17159860152081802,0.0,0.9976407411609396,0.3057851239669418,0.6942148760330582,0.3057851239669418
0.11548556430446194,0.1887584616728998,0.0,0.8681494714530621,0.2975206611570256,0.7024793388429753,0.29752066115702647
0.12335958005249342,0.20162835678696114,0.0,0.5979560302412522,0.2892561983471076,0.7107438016528924,0.2892561983471076
0.13910761154855644,0.22736814701508387,0.0,0.2165947054483383,0.2809917355371905,0.7190082644628104,0.28099173553719226
