Time Step,SOC (%),Battery Temp (°C),Grid Power (kW)
0,50.0,25.0,0.74
1,48.344963319615914,25.074,0.39
2,47.47271425925926,25.113000000000003,0.33
3,46.73465735939644,25.146000000000004,0.39
4,45.862408299039785,25.185000000000006,0.191832
5,45.43336911522634,25.204183200000006,0.029911754000000013
6,45.91179352263375,25.207174375400005,0.0
7,49.62840562757202,25.207174375400005,0.0
8,57.02671912139918,25.207174375400005,0.0
9,67.15437360288067,25.207174375400005,0.0
10,77.86115972633746,25.207174375400005,0.0
11,90.0,25.207174375400005,0.0
12,90.0,25.207174375400005,0.0
13,90.0,25.207174375400005,0.0
14,90.0,25.207174375400005,0.0
15,90.0,25.207174375400005,0.0
16,90.0,25.207174375400005,0.05788372000000003
17,90.0,25.212962747400006,0.35694600000000004
18,89.2016774005487,25.248657347400005,0.414309
19,88.2750603840878,25.290088247400007,0.83
20,86.41873545953361,25.373088247400005,0.5
21,85.30046743484225,25.423088247400006,0.56
22,84.04800724279835,25.479088247400007,0.36
23,83.24285426611796,25.51508824740001,0.97
24,81.0734142935528,25.61208824740001,1.02
25,78.79214751714676,25.71408824740001,0.99
26,76.577976824417,25.81308824740001,0.96
27,74.43090221536349,25.90908824740001,1.02
28,72.14963543895745,26.01108824740001,0.918308
29,70.09580648834016,26.10291904740001,0.23294000000000004
30,69.57482777777774,26.12621304740001,0.0
31,73.06077024074071,26.12621304740001,0.0
32,79.9997880987654,26.12621304740001,0.0
33,89.13224678395059,26.12621304740001,0.0
34,90.0,26.12621304740001,0.0
35,90.0,26.12621304740001,0.0
36,90.0,26.12621304740001,0.0
37,90.0,26.12621304740001,0.0
38,90.0,26.12621304740001,0.0
39,90.0,26.12621304740001,0.0
40,90.0,26.12621304740001,0.0
41,90.0,26.12621304740001,0.255212
42,89.42920916323732,26.15173424740001,0.38691600000000004
43,88.56385757887517,26.19042584740001,0.44
44,87.57978171467764,26.23442584740001,0.57
45,86.3049561659808,26.29142584740001,0.5
46,85.18668814128944,26.34142584740001,1.39
47,82.07790302469135,26.48042584740001,0.81
48,80.26630882030177,26.56142584740001,1.59
49,76.7254858504801,26.72042584740001,1.08
50,74.31002691358023,26.82842584740001,0.32
51,73.59433537722906,26.86042584740001,0.3
52,72.92337456104251,26.89042584740001,0.179292
53,72.52238153635115,26.90835504740001,0.060531902000000026
54,72.96723278326473,26.91440823760001,0.0
55,76.47486670919066,26.91440823760001,0.0
56,83.7390532153635,26.91440823760001,0.0
57,90.0,26.91440823760001,0.0
58,90.0,26.91440823760001,0.0
59,90.0,26.91440823760001,0.0
60,90.0,26.91440823760001,0.0
61,90.0,26.91440823760001,0.0
62,90.0,26.91440823760001,0.0
63,90.0,26.91440823760001,0.0
64,90.0,26.91440823760001,0.0
65,90.0,26.91440823760001,0.264627
66,89.40815217421125,26.94087093760001,1.207014
67,86.70862184499315,27.061572337600012,2.75
68,81.68559446502059,27.33657233760001,0.74
69,80.0305577846365,27.410572337600012,1.47
70,76.74284978737998,27.55757233760001,0.53
71,75.55748567901236,27.61057233760001,1.78
72,71.77388785322361,27.788572337600012,3.91
73,65.26865606310015,28.179572337600014,1.39
74,62.159870946502075,28.318572337600013,0.24
75,61.62310229080934,28.342572337600014,0.18
76,61.22052580246915,28.360572337600015,0.146204
77,60.893535288065856,28.375192737600013,0.033966490000000016
78,60.81756800411524,28.378589386600012,0.0
79,61.9953854670782,28.378589386600012,0.0
80,67.10068308436215,28.378589386600012,0.0
81,75.09054005349795,28.378589386600012,0.0
82,85.50803480658436,28.378589386600012,0.0
83,90.0,28.378589386600012,0.0
84,90.0,28.378589386600012,0.0
85,90.0,28.378589386600012,0.0
86,90.0,28.378589386600012,0.09217729199999991
87,90.0,28.387807115800012,0.0
88,90.0,28.387807115800012,0.0
89,90.0,28.387807115800012,0.26064999999999994
90,89.41704687928669,28.41387211580001,0.457451
91,88.39394122770918,28.459617215800012,0.88
92,86.42578949931412,28.547617215800013,0.82
93,84.5918299382716,28.629617215800014,0.57
94,83.31700438957476,28.686617215800013,1.59
95,79.77618141975309,28.84561721580001,1.57
96,76.26481981481481,29.00261721580001,1.05
97,73.91645696159122,29.107617215800012,0.48
98,72.84291965706447,29.15561721580001,0.18
99,72.44034316872428,29.17361721580001,0.18
100,72.0377666803841,29.19161721580001,0.263461
101,71.44852665294925,29.217963315800013,0.20972000000000002
102,70.97948030864198,29.238935315800013,0.093475845
103,70.77041820987655,29.248282900300012,0.07410559
104,71.49260703703705,29.255693459300012,0.014517270999999998
105,72.57075953703705,29.257145186400013,0.059924531999999975
106,73.64647917901236,29.263137639600014,0.0
107,75.86278374074075,29.263137639600014,0.0
108,78.8759682654321,29.263137639600014,0.719437
109,77.26692147530865,29.335081339600013,0.0
110,80.40944131481483,29.335081339600013,0.0014329379999999947
111,82.25273320370371,29.335224633400014,0.0
112,84.61021832098767,29.335224633400014,0.02153434300000001
113,85.82566429629631,29.337378067700012,0.29788000000000003
114,85.1594449341564,29.367166067700012,0.788786
115,83.39529660768177,29.44604466770001,0.49
116,82.29939393964337,29.49504466770001,0.39
117,81.42714487928671,29.534044667700012,0.44
118,80.44306901508918,29.578044667700013,0.64
119,79.01168594238685,29.642044667700013,0.51
120,77.87105255418383,29.69304466770001,3.6
121,71.76192712208507,30.05304466770001,0.72
122,70.15162116186559,30.12504466770001,1.05
123,67.803258308642,30.23004466770001,1.0
124,65.56672225240058,30.33004466770001,0.9351689999999999
125,63.475183068587135,30.423561567700013,0.7367239999999999
126,61.82747328120716,30.497233967700012,0.6684479999999999
127,60.33246522908096,30.56407876770001,0.18354904699999997
128,59.921951168724306,30.58243367240001,0.0
129,61.64717438477369,30.58243367240001,0.0
130,64.53102855144036,30.58243367240001,0.794316
131,62.754512179698246,30.66186527240001,0.0
132,67.35663519821676,30.66186527240001,0.0
133,71.24396655006862,30.66186527240001,0.0
134,72.97828202537727,30.66186527240001,0.0
135,74.8911738895748,30.66186527240001,0.0
136,75.74907567352543,30.66186527240001,1.39463
137,72.629935399177,30.80132827240001,0.75925
138,70.931845399177,30.87725327240001,0.39
139,70.05959633882036,30.916253272400013,1.38
140,66.97317658573394,31.054253272400015,2.76
141,61.93737158573394,31.330253272400014,1.25
142,59.141701517146835,31.455253272400014,0.5
143,58.023433492455474,31.505253272400015,2.53
144,53.28151384910842,31.758253272400015,1.8
145,49.47236077640609,31.938253272400015,0.56
146,48.21990058436219,31.994253272400016,0.24
147,47.68313192866946,32.01825327240002,0.22
148,47.19109400000005,32.040253272400015,0.13420200000000002
149,46.890946386831324,32.053673472400014,0.04305085399999997
150,46.79466159945135,32.05797855780001,0.0
151,49.02167548834024,32.05797855780001,0.0
152,52.43929949451308,32.05797855780001,0.0
153,61.41895327229086,32.05797855780001,0.0
154,72.00075278463653,32.05797855780001,0.0
155,83.60727606241431,32.05797855780001,0.0
156,90.0,32.05797855780001,0.0
157,90.0,32.05797855780001,0.0
158,90.0,32.05797855780001,0.0
159,90.0,32.05797855780001,0.0
160,90.0,32.05797855780001,0.03183538600000002
161,90.0,32.06116209640001,0.290127
162,89.35112050754458,32.090174796400014,0.43
163,88.38941000685871,32.13317479640001,0.46
164,87.36060342249657,32.17917479640001,0.59
165,86.04104715363512,32.23817479640001,0.75
166,84.36364511659808,32.31317479640001,0.58
167,83.06645420438957,32.37117479640001,3.25
168,77.40454561728394,32.696174796400015,0.94
169,75.30220172839506,32.79017479640002,0.62
170,73.91554937585734,32.852174796400014,0.35
171,73.1327617558299,32.88717479640001,0.68
172,71.61191724279836,32.95517479640001,0.24770800000000004
173,71.05790936899864,32.97994559640001,0.042718931000000016
174,70.96236694101509,32.984217489500004,0.035847202999999994
175,70.88219338134431,32.9878022098,0.04342519699999997
176,71.66818384430726,32.992144729500005,0.07331898399999998
177,72.27559732578875,32.9994766279,1.0800990000000001
178,69.8599169691358,33.1074865279,1.152175
179,67.28303604320988,33.2227040279,0.617066
180,65.90294568655693,33.2844106279,0.0
181,67.14652703840879,33.2844106279,0.0
182,68.37460243347051,33.2844106279,0.0
183,69.74671056927298,33.2844106279,0.0
184,71.84799032853223,33.2844106279,0.025762560000000045
185,72.70962377914952,33.2869868839,0.219567
186,72.21855426611798,33.308943583899996,0.36
187,71.41340128943759,33.3449435839,0.42
188,70.47405614540466,33.3869435839,0.31
189,69.78072996570644,33.4179435839,0.43
190,68.81901946502057,33.4609435839,0.91
191,66.78377165980795,33.5519435839,1.22
192,64.05519767489712,33.6739435839,0.29
193,63.40660222222222,33.7029435839,0.29
194,62.75800676954732,33.731943583900005,0.3
195,62.087045953360764,33.761943583900006,0.27
196,61.483181220850476,33.78894358390001,0.157951
197,61.12991811385459,33.804738683900005,0.032598082
198,61.057011330589845,33.807998492100005,0.022186049999999985
199,61.64132405281207,33.81021709710001,0.0
200,62.904736750342934,33.81021709710001,0.0
201,65.65510381207133,33.81021709710001,0.0
202,69.83498476268862,33.81021709710001,0.0
203,80.82746293552813,33.81021709710001,0.0
204,90.0,33.81021709710001,0.0
205,90.0,33.81021709710001,0.0
206,90.0,33.81021709710001,0.0
207,90.0,33.81021709710001,0.0
208,90.0,33.81021709710001,0.13275566100000002
209,89.70308718106996,33.82349266320001,1.114197
210,87.21114541838135,33.934912363200006,1.36
211,84.16945638545954,34.07091236320001,1.2
212,81.48561312071331,34.190912363200006,1.18
213,78.84650057613169,34.30891236320001,1.25
214,76.05083050754459,34.43391236320001,1.19
215,73.38935260631003,34.55291236320001,1.21
216,70.68314398491086,34.67391236320001,1.11
217,68.20058896433473,34.78491236320001,1.07
218,65.80749539094653,34.89191236320001,1.09
219,63.36967109053501,35.00091236320001,1.06
220,60.998942873799756,35.10691236320001,1.025916
221,58.70444475308645,35.20950396320001,0.887227
222,56.720129581618686,35.298226663200005,0.591954
223,55.39620312071334,35.357422063200005,0.722593
224,53.780097825788786,35.429681363200004,0.6241150000000001
225,52.384242126200306,35.49209286320001,2.633586
226,47.50996418381347,35.755451463200004,1.1113989999999998
227,45.02428025377232,35.8665913632,0.0
228,54.65677088340195,35.8665913632,0.0
229,63.46064255006861,35.8665913632,0.0
230,70.68558302537726,35.8665913632,0.0
231,75.1571405624143,35.8665913632,0.16735618000000008
232,77.47281451303158,35.8833269812,1.9583779999999997
233,73.46129198216738,36.0791647812,3.773312
234,67.13071498628261,36.4564959812,3.72
235,60.86825805898494,36.8284959812,2.1
236,56.675776255144065,37.0384959812,4.02
237,50.02999060356656,37.4404959812,1.25
238,47.23432053497945,37.5654959812,1.67
239,43.59127657750346,37.7324959812,0.34
240,42.83085432098768,37.7664959812,0.67
241,41.33237516460908,37.8334959812,0.98
242,39.14056983539098,37.9314959812,0.9
243,37.127687386831305,38.021495981200005,0.9
244,35.11480493827163,38.11149598120001,0.8476980000000001
245,33.218897798353936,38.196265781200005,0.525424
246,32.04376807956107,38.248808181200005,0.0
247,35.34405082030181,38.248808181200005,0.0
248,40.427557764746254,38.248808181200005,0.2289833830000001
249,44.495757388203046,38.27170651950001,0.0
250,51.26454707338823,38.27170651950001,0.6757622949999997
251,55.889622968449956,38.339282749000006,0.0
252,68.87831914128947,38.339282749000006,0.0
253,81.72689803017836,38.339282749000006,0.0
254,90.0,38.339282749000006,0.0
255,90.0,38.339282749000006,0.0
256,90.0,38.339282749000006,0.0
257,90.0,38.339282749000006,1.563565
258,86.50303050754458,38.49563924900001,0.49
259,85.40712783950617,38.54463924900001,0.47
260,84.35595589163238,38.591639249,0.41
261,83.43897611111112,38.632639249,0.51
262,82.2983427229081,38.683639249,0.31
263,81.60501654320989,38.714639249,1.22
264,78.87644255829905,38.836639249,0.23
265,78.36203926611797,38.859639249000004,0.22
266,77.87000133744857,38.881639249,0.22
267,77.37796340877917,38.903639249,0.22
268,76.88592548010976,38.925639249,0.42
269,75.94658033607683,38.967639249,0.18827899999999997
270,75.52548756515776,38.986467149,0.016455656999999957
271,76.29337492318245,38.9881127147,0.20568870299999997
272,75.83334472427985,39.008681585000005,0.14750874000000003
273,75.50343610973938,39.023432459000006,0.04093943499999997
274,75.4118735857339,39.02752640250001,0.0
275,79.34841624622773,39.02752640250001,0.0
276,87.4754480548697,39.02752640250001,0.0
277,90.0,39.02752640250001,0.0
278,90.0,39.02752640250001,0.0
279,90.0,39.02752640250001,0.130768396
280,90.0,39.040603242100005,0.4757110000000001
281,88.93605519890261,39.088174342100004,2.881177
282,83.74541478052126,39.376292042100005,1.65
283,80.12792606995885,39.541292042100004,0.26
284,79.54642669410151,39.56729204210001,0.38
285,78.69654299725651,39.605292042100004,0.39
286,77.82429393689986,39.644292042100005,1.38
287,74.73787418381345,39.7822920421,0.76
288,73.03810678326475,39.858292042100004,0.46
289,72.00930019890261,39.9042920421,0.41
290,71.09232041838135,39.9452920421,0.3
291,70.4213596021948,39.9752920421,0.24
292,69.88459094650207,39.9992920421,0.157253
293,69.53288894375859,40.0150173421,0.02983977900000001
294,69.46615120027437,40.01800132,0.0
295,72.59425139780524,40.01800132,0.0
296,79.58419187311388,40.01800132,0.0
297,88.69280502126203,40.01800132,0.0
298,90.0,40.01800132,0.0
299,90.0,40.01800132,0.0
300,90.0,40.01800132,0.0
301,90.0,40.01800132,0.0
302,90.0,40.01800132,0.0
303,90.0,40.01800132,0.0
304,90.0,40.01800132,0.055335365000000025
305,90.0,40.02353485650001,0.35654399999999997
306,89.2025764883402,40.059189256500005,0.63
307,87.79355877229082,40.12218925650001,0.61
308,86.42927178326475,40.18318925650001,0.56
309,85.17681159122085,40.239189256500005,0.57
310,83.90198604252402,40.29618925650001,0.63
311,82.49296832647464,40.35918925650001,0.53
